title,value,weight,food,ingredients,recipe,adult portion size(g),child portion size(g),total recipe weight(g)
Risotto,"[1, 1, 2, 1, 0.5, 4, 0.5, 2, 0, 0]","[""tablespoon"", ""small"", ""0"", ""cup"", ""cup"", ""cups"", ""cup"", ""tablespoons"", ""0"", ""0""]","[""olive oil"", ""onion, finely chopped"", ""garlic, minced"", ""Arborio rice"", ""dry white wine"", ""chicken or vegetable broth, kept warm"", ""grated Parmesan cheese"", ""unsalted butter"", ""Salt and freshly ground black pepper to taste"", ""Chopped fresh parsley for garnish (optional)""]","[""1 tablespoon olive oil (15ml)"", ""1 small onion, finely chopped (100g)"", ""2 cloves garlic, minced (6g)"", ""1 cup Arborio rice (200g)"", ""1/2 cup dry white wine (120ml)"", ""4 cups chicken or vegetable broth, kept warm (960ml)"", ""1/2 cup grated Parmesan cheese (50g)"", ""2 tablespoons unsalted butter (28g)"", ""Salt and freshly ground black pepper to taste (2g)"", ""Chopped fresh parsley for garnish (optional, 5g)""]","[""1. In a large saucepan, heat the olive oil over medium heat."", ""2. Add the finely chopped onion and sauté until translucent, about 5 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Add the Arborio rice to the pan, stirring to coat the grains with oil, and cook for 2 minutes until slightly toasted."", ""5. Pour in the dry white wine and cook, stirring constantly, until the liquid is fully absorbed."", ""6. Begin adding the warm broth, one ladleful at a time, stirring frequently. Allow each addition to be absorbed before adding the next. Continue this process until the rice is creamy and tender, about 18-20 minutes."", ""7. Once the rice is cooked, remove the pan from the heat and stir in the grated Parmesan cheese and unsalted butter until fully incorporated."", ""8. Season with salt and freshly ground black pepper to taste."", ""9. Garnish with chopped fresh parsley if desired and serve immediately.""]",250,125,1359
Pork Chops,"[4, 2, 2, 1, 1, 0]","[""0"", ""tablespoons"", ""0"", ""teaspoon"", ""teaspoon"", ""0""]","[""bone-in pork chops, each about 1-inch thick"", ""olive oil"", ""garlic, minced"", ""dried thyme"", ""dried rosemary"", ""Salt and freshly ground black pepper to taste""]","[""4 bone-in pork chops, each about 1-inch thick (approximately 800g total)"", ""2 tablespoons olive oil (30ml)"", ""2 cloves garlic, minced (6g)"", ""1 teaspoon dried thyme (1g)"", ""1 teaspoon dried rosemary (1g)"", ""Salt and freshly ground black pepper to taste (5g)""]","[""1. Preheat the oven to 375°F (190°C)."", ""2. In a small bowl, combine minced garlic, dried thyme, dried rosemary, salt, and freshly ground black pepper."", ""3. Pat the pork chops dry with paper towels and rub both sides with the olive oil."", ""4. Evenly distribute the herb and garlic mixture over both sides of the pork chops."", ""5. Heat a large oven-safe skillet over medium-high heat."", ""6. Sear the pork chops in the skillet for 2-3 minutes per side until golden brown."", ""7. Transfer the skillet to the preheated oven and bake for 10-15 minutes, or until the internal temperature reaches 145°F (63°C)."", ""8. Remove the skillet from the oven and let the pork chops rest for 5 minutes before serving.""]",200,100,838
Pad Thai,"[200, 2, 2, 150, 100, 2, 100, 50, 3, 2, 1, 1, 50, 2, 0, 0]","[""g"", ""tablespoons"", ""0"", ""g"", ""g"", ""large"", ""g"", ""g"", ""tablespoons"", ""tablespoons"", ""tablespoon"", ""teaspoon"", ""g"", ""0"", ""0"", ""0""]","[""rice noodles"", ""vegetable oil"", ""garlic, minced"", ""chicken breast, thinly sliced"", ""medium shrimp, peeled and deveined"", ""eggs"", ""bean sprouts"", ""firm tofu, diced"", ""fish sauce"", ""tamarind paste"", ""sugar"", ""chili powder"", ""roasted peanuts, crushed"", ""green onions, chopped"", ""Fresh cilantro for garnish (optional)"", ""Lime wedges for serving""]","[""200g rice noodles"", ""2 tablespoons vegetable oil (30ml)"", ""2 cloves garlic, minced (6g)"", ""150g chicken breast, thinly sliced"", ""100g medium shrimp, peeled and deveined"", ""2 large eggs (100g)"", ""100g bean sprouts"", ""50g firm tofu, diced"", ""3 tablespoons fish sauce (45ml)"", ""2 tablespoons tamarind paste (30ml)"", ""1 tablespoon sugar (12g)"", ""1 teaspoon chili powder (2g)"", ""50g roasted peanuts, crushed"", ""2 green onions, chopped (30g)"", ""Fresh cilantro for garnish (optional, 10g)"", ""Lime wedges for serving""]","[""1. Soak the rice noodles in warm water for 20-30 minutes until pliable, then drain."", ""2. In a small bowl, mix together fish sauce, tamarind paste, sugar, and chili powder; set aside."", ""3. Heat 1 tablespoon of vegetable oil in a large skillet or wok over medium-high heat."", ""4. Add minced garlic and sauté until fragrant, about 30 seconds."", ""5. Add sliced chicken and cook until no longer pink, approximately 3-4 minutes."", ""6. Push the chicken to one side of the skillet and add the shrimp; cook until pink and opaque, about 2 minutes."", ""7. Push the shrimp and chicken to one side and add the remaining 1 tablespoon of oil."", ""8. Crack the eggs into the skillet and scramble until just set, then combine with the chicken and shrimp."", ""9. Add the diced tofu and soaked noodles to the skillet; pour the sauce mixture over the top."", ""10. Toss everything together to coat evenly and cook for 2-3 minutes until the noodles are tender."", ""11. Stir in the bean sprouts and chopped green onions; cook for an additional minute."", ""12. Remove from heat and garnish with crushed peanuts, fresh cilantro, and lime wedges before serving.""]",300,150,800
Quiche,"[1, 6, 1, 1, 1, 0.5, 0.25, 0.25, 0]","[""0"", ""large"", ""cup"", ""cup"", ""cup"", ""cup"", ""cup"", ""teaspoon"", ""0""]","[""unbaked 9-inch pie crust"", ""eggs"", ""heavy cream"", ""whole milk"", ""shredded Gruyère cheese"", ""cooked and crumbled bacon"", ""finely chopped shallots"", ""ground nutmeg"", ""Salt and freshly ground black pepper to taste""]","[""1 unbaked 9-inch pie crust (230g)"", ""6 large eggs (300g)"", ""1 cup heavy cream (240ml)"", ""1 cup whole milk (240ml)"", ""1 cup shredded Gruyère cheese (100g)"", ""1/2 cup cooked and crumbled bacon (60g)"", ""1/4 cup finely chopped shallots (40g)"", ""1/4 teaspoon ground nutmeg (0.5g)"", ""Salt and freshly ground black pepper to taste (2g)""]","[""1. Preheat the oven to 375°F (190°C)."", ""2. Roll out the pie crust and fit it into a 9-inch pie dish. Trim any excess dough and crimp the edges as desired."", ""3. Line the pie crust with parchment paper and fill with pie weights or dried beans. Bake for 15 minutes, then remove the parchment and weights, and bake for an additional 5 minutes until the crust is lightly golden. Remove from the oven and set aside."", ""4. In a skillet over medium heat, sauté the chopped shallots until translucent, about 3 minutes. Remove from heat and let cool slightly."", ""5. In a mixing bowl, whisk together the eggs, heavy cream, whole milk, ground nutmeg, salt, and freshly ground black pepper until well combined."", ""6. Evenly spread the cooked shallots, crumbled bacon, and shredded Gruyère cheese over the bottom of the pre-baked pie crust."", ""7. Pour the egg mixture over the fillings, ensuring they are evenly distributed."", ""8. Place the quiche on a baking sheet and bake in the preheated oven for 35-40 minutes, or until the center is set and the top is lightly golden."", ""9. Remove from the oven and let the quiche cool for at least 15 minutes before slicing and serving.""]",200,100,1012
Apple Crumble,"[6, 2, 1, 1, 1, 0.5, 0.5, 0.5, 0.25, 0.5]","[""medium"", ""tablespoons"", ""teaspoon"", ""teaspoon"", ""cup"", ""cup"", ""cup"", ""teaspoon"", ""teaspoon"", ""cup""]","[""Granny Smith apples, peeled, cored, and sliced"", ""granulated sugar"", ""ground cinnamon"", ""lemon juice"", ""all-purpose flour"", ""rolled oats"", ""packed brown sugar"", ""ground nutmeg"", ""salt"", ""unsalted butter, cold and cubed""]","[""6 medium Granny Smith apples, peeled, cored, and sliced (approximately 900g)"", ""2 tablespoons granulated sugar (25g)"", ""1 teaspoon ground cinnamon (2g)"", ""1 teaspoon lemon juice (5ml)"", ""1 cup all-purpose flour (120g)"", ""1/2 cup rolled oats (50g)"", ""1/2 cup packed brown sugar (100g)"", ""1/2 teaspoon ground nutmeg (1g)"", ""1/4 teaspoon salt (1.5g)"", ""1/2 cup unsalted butter, cold and cubed (113g)""]","[""1. Preheat the oven to 350°F (175°C)."", ""2. In a large bowl, combine the sliced apples, granulated sugar, ground cinnamon, and lemon juice. Toss to coat the apples evenly."", ""3. Transfer the apple mixture to a greased 9x9-inch (23x23 cm) baking dish, spreading it out evenly."", ""4. In a separate bowl, mix together the all-purpose flour, rolled oats, brown sugar, ground nutmeg, and salt."", ""5. Add the cold, cubed butter to the dry ingredients. Using a pastry cutter or your fingers, blend until the mixture resembles coarse crumbs."", ""6. Sprinkle the crumble topping evenly over the apple mixture in the baking dish."", ""7. Bake in the preheated oven for 40-45 minutes, or until the topping is golden brown and the apples are tender."", ""8. Remove from the oven and let it cool slightly before serving. Best enjoyed warm, optionally with a scoop of vanilla ice cream.""]",150,75,1295
Fish Tacos,"[500, 1, 0.5, 0.5, 0.25, 0.25, 0, 2, 8, 2, 0.25, 0.25, 0.25, 0.25, 1, 1, 0]","[""g"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""0"", ""tablespoons"", ""small"", ""cups"", ""cup"", ""cup"", ""cup"", ""cup"", ""tablespoon"", ""teaspoon"", ""0""]","[""white fish fillets (such as cod or tilapia)"", ""chili powder"", ""ground cumin"", ""smoked paprika"", ""garlic powder"", ""onion powder"", ""Salt and freshly ground black pepper to taste"", ""olive oil"", ""corn tortillas"", ""shredded red cabbage"", ""chopped fresh cilantro"", ""thinly sliced red onion"", ""sour cream"", ""mayonnaise"", ""lime juice"", ""hot sauce"", ""Lime wedges for serving""]","[""500g white fish fillets (such as cod or tilapia)"", ""1 teaspoon chili powder (2g)"", ""1/2 teaspoon ground cumin (1g)"", ""1/2 teaspoon smoked paprika (1g)"", ""1/4 teaspoon garlic powder (0.5g)"", ""1/4 teaspoon onion powder (0.5g)"", ""Salt and freshly ground black pepper to taste (2g)"", ""2 tablespoons olive oil (30ml)"", ""8 small corn tortillas (240g)"", ""2 cups shredded red cabbage (150g)"", ""1/4 cup chopped fresh cilantro (15g)"", ""1/4 cup thinly sliced red onion (30g)"", ""1/4 cup sour cream (60g)"", ""1/4 cup mayonnaise (60g)"", ""1 tablespoon lime juice (15ml)"", ""1 teaspoon hot sauce (5ml)"", ""Lime wedges for serving""]","[""1. In a small bowl, combine chili powder, ground cumin, smoked paprika, garlic powder, onion powder, salt, and black pepper."", ""2. Pat the fish fillets dry with paper towels and rub both sides with the spice mixture."", ""3. Heat olive oil in a large skillet over medium-high heat."", ""4. Cook the fish fillets for 3-4 minutes per side, or until cooked through and easily flaked with a fork."", ""5. Remove the fish from the skillet and let it rest for a few minutes before flaking into bite-sized pieces."", ""6. In a medium bowl, combine shredded red cabbage, chopped cilantro, and sliced red onion."", ""7. In a separate small bowl, whisk together sour cream, mayonnaise, lime juice, and hot sauce to make the sauce."", ""8. Warm the corn tortillas in a dry skillet or microwave."", ""9. Assemble the tacos by placing flaked fish onto each tortilla, topping with the cabbage mixture, and drizzling with the sauce."", ""10. Serve with lime wedges on the side.""]",300,150,1000
Pulled Pork Sandwich,"[1.5, 2, 1, 1, 1, 1, 1, 0.5, 0.5, 1, 0.5, 0.5, 8, 0]","[""kg"", ""tablespoons"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""cup"", ""cup"", ""cup"", ""0"", ""0""]","[""boneless pork shoulder"", ""brown sugar"", ""paprika"", ""garlic powder"", ""onion powder"", ""ground cumin"", ""salt"", ""freshly ground black pepper"", ""cayenne pepper"", ""barbecue sauce"", ""apple cider vinegar"", ""chicken broth"", ""hamburger buns"", ""Coleslaw for serving (optional)""]","[""1.5 kg boneless pork shoulder"", ""2 tablespoons brown sugar (30g)"", ""1 tablespoon paprika (7g)"", ""1 teaspoon garlic powder (3g)"", ""1 teaspoon onion powder (3g)"", ""1 teaspoon ground cumin (3g)"", ""1 teaspoon salt (5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""1/2 teaspoon cayenne pepper (1g)"", ""1 cup barbecue sauce (240ml)"", ""1/2 cup apple cider vinegar (120ml)"", ""1/2 cup chicken broth (120ml)"", ""8 hamburger buns (400g)"", ""Coleslaw for serving (optional, 200g)""]","[""1. In a small bowl, combine brown sugar, paprika, garlic powder, onion powder, ground cumin, salt, black pepper, and cayenne pepper."", ""2. Rub the spice mixture evenly over the pork shoulder."", ""3. Place the seasoned pork in a slow cooker."", ""4. In a separate bowl, mix together barbecue sauce, apple cider vinegar, and chicken broth."", ""5. Pour the sauce mixture over the pork in the slow cooker."", ""6. Cover and cook on low for 8-10 hours, or until the pork is tender and easily shreds with a fork."", ""7. Remove the pork from the slow cooker and shred it using two forks."", ""8. Return the shredded pork to the slow cooker and mix it with the remaining sauce."", ""9. Serve the pulled pork on hamburger buns, topped with coleslaw if desired.""]",300,150,2380
Shrimp Scampi,"[450, 3, 2, 4, 0.25, 0.5, 0.5, 0.25, 2, 2, 0]","[""g"", ""tablespoons"", ""tablespoons"", ""0"", ""teaspoon"", ""cup"", ""teaspoon"", ""teaspoon"", ""tablespoons"", ""tablespoons"", ""0""]","[""large shrimp, peeled and deveined"", ""unsalted butter"", ""olive oil"", ""garlic, minced"", ""red pepper flakes"", ""dry white wine"", ""salt"", ""freshly ground black pepper"", ""fresh lemon juice"", ""chopped fresh parsley"", ""Lemon wedges for serving""]","[""450g large shrimp, peeled and deveined"", ""3 tablespoons unsalted butter (42g)"", ""2 tablespoons olive oil (30ml)"", ""4 cloves garlic, minced (12g)"", ""1/4 teaspoon red pepper flakes (0.5g)"", ""1/2 cup dry white wine (120ml)"", ""1/2 teaspoon salt (2.5g)"", ""1/4 teaspoon freshly ground black pepper (0.5g)"", ""2 tablespoons fresh lemon juice (30ml)"", ""2 tablespoons chopped fresh parsley (8g)"", ""Lemon wedges for serving""]","[""1. Heat the olive oil and 2 tablespoons of butter in a large skillet over medium heat."", ""2. Add the minced garlic and red pepper flakes; sauté until fragrant, about 1 minute."", ""3. Add the shrimp to the skillet; cook until pink and opaque, approximately 2-3 minutes per side."", ""4. Remove the shrimp from the skillet and set aside."", ""5. Pour the white wine into the skillet; bring to a simmer and cook for 2 minutes to reduce slightly."", ""6. Stir in the remaining 1 tablespoon of butter, salt, black pepper, and lemon juice; cook for an additional minute."", ""7. Return the shrimp to the skillet; toss to coat with the sauce and heat through."", ""8. Sprinkle with chopped parsley and serve immediately with lemon wedges.""]",200,100,663
Bolognese,"[2, 1, 2, 1, 1, 500, 100, 1, 1, 1, 2, 1, 1, 0, 0]","[""tablespoons"", ""medium"", ""0"", ""medium"", ""0"", ""g"", ""g"", ""cup"", ""cup"", ""can"", ""tablespoons"", ""teaspoon"", ""teaspoon"", ""0"", ""0""]","[""olive oil"", ""onion, finely chopped"", ""garlic, minced"", ""carrot, finely chopped"", ""celery stalk, finely chopped"", ""ground beef"", ""pancetta or bacon, finely chopped"", ""whole milk"", ""dry white wine"", ""crushed tomatoes"", ""tomato paste"", ""dried oregano"", ""dried basil"", ""Salt and freshly ground black pepper to taste"", ""Freshly grated Parmesan cheese for serving (optional)""]","[""2 tablespoons olive oil (30ml)"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""1 medium carrot, finely chopped (100g)"", ""1 celery stalk, finely chopped (100g)"", ""500g ground beef"", ""100g pancetta or bacon, finely chopped"", ""1 cup whole milk (240ml)"", ""1 cup dry white wine (240ml)"", ""1 can (400g) crushed tomatoes"", ""2 tablespoons tomato paste (30g)"", ""1 teaspoon dried oregano (1g)"", ""1 teaspoon dried basil (1g)"", ""Salt and freshly ground black pepper to taste (5g)"", ""Freshly grated Parmesan cheese for serving (optional, 50g)""]","[""1. Heat the olive oil in a large pot over medium heat."", ""2. Add the chopped onion, carrot, and celery; sauté until softened, about 5 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Add the pancetta or bacon; cook until it starts to render fat, approximately 3 minutes."", ""5. Add the ground beef; cook until browned, breaking it up with a spoon, about 5-7 minutes."", ""6. Pour in the whole milk; simmer until it evaporates, stirring occasionally, about 10 minutes."", ""7. Add the white wine; simmer until it reduces by half, approximately 10 minutes."", ""8. Stir in the crushed tomatoes, tomato paste, dried oregano, and dried basil."", ""9. Season with salt and freshly ground black pepper to taste."", ""10. Reduce the heat to low; cover and simmer for 2-3 hours, stirring occasionally."", ""11. Serve over cooked pasta, topped with freshly grated Parmesan cheese if desired.""]",200,100,1377
Chicken Parmesan,"[4, 1, 2, 1, 0.5, 1, 1, 0.5, 0.5, 0.5, 2, 1.5, 0]","[""0"", ""cup"", ""large"", ""cup"", ""cup"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""cup"", ""cups"", ""cups"", ""0""]","[""boneless, skinless chicken breasts"", ""all-purpose flour"", ""eggs, beaten"", ""Italian-style breadcrumbs"", ""grated Parmesan cheese"", ""garlic powder"", ""dried oregano"", ""salt"", ""freshly ground black pepper"", ""olive oil"", ""marinara sauce"", ""shredded mozzarella cheese"", ""Fresh basil leaves for garnish (optional)""]","[""4 boneless, skinless chicken breasts (approximately 680g)"", ""1 cup all-purpose flour (120g)"", ""2 large eggs, beaten (100g)"", ""1 cup Italian-style breadcrumbs (120g)"", ""1/2 cup grated Parmesan cheese (50g)"", ""1 teaspoon garlic powder (2g)"", ""1 teaspoon dried oregano (1g)"", ""1/2 teaspoon salt (2.5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""1/2 cup olive oil (120ml)"", ""2 cups marinara sauce (480ml)"", ""1 1/2 cups shredded mozzarella cheese (170g)"", ""Fresh basil leaves for garnish (optional, 10g)""]","[""1. Preheat the oven to 375°F (190°C)."", ""2. Place the chicken breasts between two sheets of plastic wrap and pound them to an even thickness of about 1/2 inch."", ""3. Prepare three shallow dishes: one with all-purpose flour, one with beaten eggs, and one with a mixture of breadcrumbs, grated Parmesan cheese, garlic powder, dried oregano, salt, and freshly ground black pepper."", ""4. Dredge each chicken breast in the flour, shaking off any excess."", ""5. Dip the floured chicken into the beaten eggs, allowing any excess to drip off."", ""6. Coat the chicken with the breadcrumb mixture, pressing gently to adhere."", ""7. Heat olive oil in a large skillet over medium-high heat."", ""8. Fry the breaded chicken breasts until golden brown, about 3-4 minutes per side. Transfer to a paper towel-lined plate to drain excess oil."", ""9. Spread 1 cup of marinara sauce in the bottom of a baking dish."", ""10. Place the fried chicken breasts on top of the sauce."", ""11. Spoon the remaining marinara sauce over the chicken and sprinkle with shredded mozzarella cheese."", ""12. Bake in the preheated oven for 20-25 minutes, or until the cheese is melted and bubbly."", ""13. Garnish with fresh basil leaves before serving, if desired.""]",300,150,1363
Meatballs,"[500, 250, 1, 0.5, 2, 0.25, 2, 0.25, 1, 0.5, 1, 0.5, 0.25, 2]","[""g"", ""g"", ""cup"", ""cup"", ""0"", ""cup"", ""large"", ""cup"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""tablespoons""]","[""ground beef"", ""ground pork"", ""fresh breadcrumbs"", ""grated Parmesan cheese"", ""garlic, minced"", ""chopped fresh parsley"", ""eggs"", ""whole milk"", ""salt"", ""freshly ground black pepper"", ""dried oregano"", ""dried basil"", ""crushed red pepper flakes"", ""olive oil""]","[""500g ground beef"", ""250g ground pork"", ""1 cup fresh breadcrumbs (60g)"", ""1/2 cup grated Parmesan cheese (50g)"", ""2 cloves garlic, minced (6g)"", ""1/4 cup chopped fresh parsley (15g)"", ""2 large eggs (100g)"", ""1/4 cup whole milk (60ml)"", ""1 teaspoon salt (5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""1 teaspoon dried oregano (1g)"", ""1/2 teaspoon dried basil (0.5g)"", ""1/4 teaspoon crushed red pepper flakes (0.5g)"", ""2 tablespoons olive oil (30ml)""]","[""1. In a large mixing bowl, combine the ground beef, ground pork, fresh breadcrumbs, grated Parmesan cheese, minced garlic, chopped parsley, eggs, whole milk, salt, black pepper, dried oregano, dried basil, and crushed red pepper flakes."", ""2. Mix the ingredients thoroughly until well combined, being careful not to overmix."", ""3. Preheat the oven to 200°C (400°F)."", ""4. Line a baking sheet with parchment paper and lightly grease it with olive oil."", ""5. Using your hands, form the mixture into meatballs approximately 1.5 inches in diameter, placing them on the prepared baking sheet."", ""6. Bake in the preheated oven for 20 minutes, or until the meatballs are cooked through and lightly browned."", ""7. Remove from the oven and let them rest for a few minutes before serving.""]",150,75,1013
Vegetable Soup,"[2, 1, 2, 2, 2, 1, 1, 1, 6, 2, 1, 0.5, 1, 0, 1, 1, 2]","[""tablespoons"", ""large"", ""0"", ""medium"", ""stalks"", ""medium"", ""cup"", ""can"", ""cups"", ""teaspoons"", ""teaspoon"", ""teaspoon"", ""0"", ""0"", ""cup"", ""cup"", ""tablespoons""]","[""olive oil"", ""onion, diced"", ""garlic, minced"", ""carrots, sliced"", ""celery stalks, sliced"", ""zucchini, diced"", ""green beans, trimmed and cut into 1-inch pieces"", ""diced tomatoes with juice"", ""vegetable broth"", ""dried basil"", ""dried oregano"", ""dried thyme"", ""bay leaf"", ""Salt and freshly ground black pepper to taste"", ""frozen peas"", ""frozen corn kernels"", ""chopped fresh parsley""]","[""2 tablespoons olive oil (30ml)"", ""1 large onion, diced (200g)"", ""2 cloves garlic, minced (6g)"", ""2 medium carrots, sliced (150g)"", ""2 celery stalks, sliced (100g)"", ""1 medium zucchini, diced (200g)"", ""1 cup green beans, trimmed and cut into 1-inch pieces (150g)"", ""1 can (400g) diced tomatoes with juice"", ""6 cups vegetable broth (1.5 liters)"", ""2 teaspoons dried basil (2g)"", ""1 teaspoon dried oregano (1g)"", ""1/2 teaspoon dried thyme (0.5g)"", ""1 bay leaf"", ""Salt and freshly ground black pepper to taste (5g)"", ""1 cup frozen peas (150g)"", ""1 cup frozen corn kernels (150g)"", ""2 tablespoons chopped fresh parsley (8g)""]","[""1. Heat the olive oil in a large pot over medium heat."", ""2. Add the diced onion, carrots, and celery; sauté until the vegetables are tender, about 5 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Add the diced zucchini and green beans; cook for another 3 minutes."", ""5. Pour in the diced tomatoes with their juice and the vegetable broth."", ""6. Stir in the dried basil, dried oregano, dried thyme, bay leaf, salt, and freshly ground black pepper."", ""7. Bring the mixture to a boil, then reduce the heat to low and let it simmer, covered, for 20 minutes."", ""8. Add the frozen peas and corn; continue to simmer for an additional 5 minutes."", ""9. Remove the bay leaf and stir in the chopped fresh parsley before serving.""]",300,150,2800
Minestrone Soup,"[2, 1, 2, 2, 2, 1, 1, 1, 4, 1, 1, 1, 0.5, 1, 0, 1, 2, 2, 0]","[""tablespoons"", ""medium"", ""0"", ""medium"", ""stalks"", ""medium"", ""cup"", ""can"", ""cups"", ""can"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""0"", ""0"", ""cup"", ""cups"", ""tablespoons"", ""0""]","[""olive oil"", ""onion, diced"", ""garlic, minced"", ""carrots, diced"", ""celery stalks, diced"", ""zucchini, diced"", ""green beans, cut into 1-inch pieces"", ""diced tomatoes with juice"", ""vegetable broth"", ""cannellini beans, drained and rinsed"", ""dried oregano"", ""dried basil"", ""dried thyme"", ""bay leaf"", ""Salt and freshly ground black pepper to taste"", ""small pasta (such as ditalini or elbow macaroni)"", ""fresh spinach leaves"", ""chopped fresh parsley"", ""Grated Parmesan cheese for serving (optional)""]","[""2 tablespoons olive oil (30ml)"", ""1 medium onion, diced (150g)"", ""2 cloves garlic, minced (6g)"", ""2 medium carrots, diced (120g)"", ""2 celery stalks, diced (100g)"", ""1 medium zucchini, diced (200g)"", ""1 cup green beans, cut into 1-inch pieces (150g)"", ""1 can (400g) diced tomatoes with juice"", ""4 cups vegetable broth (1 liter)"", ""1 can (400g) cannellini beans, drained and rinsed"", ""1 teaspoon dried oregano (1g)"", ""1 teaspoon dried basil (1g)"", ""1/2 teaspoon dried thyme (0.5g)"", ""1 bay leaf"", ""Salt and freshly ground black pepper to taste (5g)"", ""1 cup small pasta (such as ditalini or elbow macaroni) (100g)"", ""2 cups fresh spinach leaves (60g)"", ""2 tablespoons chopped fresh parsley (8g)"", ""Grated Parmesan cheese for serving (optional, 50g)""]","[""1. Heat the olive oil in a large pot over medium heat."", ""2. Add the diced onion, carrots, and celery; sauté until the vegetables are tender, about 5 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Add the diced zucchini and green beans; cook for another 3 minutes."", ""5. Pour in the diced tomatoes with their juice and the vegetable broth."", ""6. Stir in the cannellini beans, dried oregano, dried basil, dried thyme, bay leaf, salt, and freshly ground black pepper."", ""7. Bring the mixture to a boil, then reduce the heat to low and let it simmer, covered, for 20 minutes."", ""8. Add the small pasta to the pot and cook until al dente, about 10 minutes."", ""9. Stir in the fresh spinach leaves and cook until wilted, about 2 minutes."", ""10. Remove the bay leaf and stir in the chopped fresh parsley before serving."", ""11. Serve hot, topped with grated Parmesan cheese if desired.""]",300,150,2340
Cornbread,"[1, 1, 0.25, 1, 0.5, 1, 2, 0.5]","[""cup"", ""cup"", ""cup"", ""tablespoon"", ""teaspoon"", ""cup"", ""large"", ""cup""]","[""yellow cornmeal"", ""all-purpose flour"", ""granulated sugar"", ""baking powder"", ""salt"", ""whole milk"", ""eggs"", ""unsalted butter, melted""]","[""1 cup yellow cornmeal (120g)"", ""1 cup all-purpose flour (125g)"", ""1/4 cup granulated sugar (50g)"", ""1 tablespoon baking powder (12g)"", ""1/2 teaspoon salt (2.5g)"", ""1 cup whole milk (240ml)"", ""2 large eggs (100g)"", ""1/2 cup unsalted butter, melted (113g)""]","[""1. Preheat the oven to 400°F (200°C). Grease an 8-inch square baking pan or a 9-inch round cake pan."", ""2. In a large bowl, whisk together the cornmeal, flour, sugar, baking powder, and salt."", ""3. In a separate bowl, combine the milk, eggs, and melted butter."", ""4. Pour the wet ingredients into the dry ingredients and stir until just combined; avoid overmixing."", ""5. Pour the batter into the prepared pan and spread it evenly."", ""6. Bake for 20-25 minutes, or until a toothpick inserted into the center comes out clean."", ""7. Allow the cornbread to cool slightly before slicing and serving.""]",100,50,650
Chicken Alfredo,"[2, 0, 2, 300, 2, 2, 1, 1, 0.25, 0]","[""0"", ""0"", ""tablespoons"", ""g"", ""tablespoons"", ""0"", ""cup"", ""cup"", ""teaspoon"", ""0""]","[""boneless, skinless chicken breasts"", ""Salt and freshly ground black pepper to taste"", ""olive oil"", ""fettuccine pasta"", ""unsalted butter"", ""garlic, minced"", ""heavy cream"", ""freshly grated Parmesan cheese"", ""ground nutmeg"", ""Chopped fresh parsley for garnish (optional)""]","[""2 boneless, skinless chicken breasts (approximately 500g)"", ""Salt and freshly ground black pepper to taste (5g)"", ""2 tablespoons olive oil (30ml)"", ""300g fettuccine pasta"", ""2 tablespoons unsalted butter (28g)"", ""2 cloves garlic, minced (6g)"", ""1 cup heavy cream (240ml)"", ""1 cup freshly grated Parmesan cheese (90g)"", ""1/4 teaspoon ground nutmeg (0.5g)"", ""Chopped fresh parsley for garnish (optional, 10g)""]","[""1. Season the chicken breasts with salt and freshly ground black pepper on both sides."", ""2. Heat the olive oil in a large skillet over medium-high heat."", ""3. Add the chicken breasts to the skillet and cook for 6-7 minutes per side, or until fully cooked and golden brown."", ""4. Remove the chicken from the skillet and let it rest for a few minutes before slicing it into strips."", ""5. In a large pot, bring salted water to a boil and cook the fettuccine pasta according to package instructions until al dente."", ""6. Drain the pasta, reserving about 1/2 cup of the pasta cooking water."", ""7. In the same skillet used for the chicken, melt the unsalted butter over medium heat."", ""8. Add the minced garlic and sauté for about 1 minute until fragrant."", ""9. Pour in the heavy cream and bring it to a gentle simmer."", ""10. Stir in the freshly grated Parmesan cheese until the sauce is smooth and creamy."", ""11. Add the ground nutmeg and season with additional salt and freshly ground black pepper to taste."", ""12. Toss the cooked fettuccine pasta in the sauce, adding some of the reserved pasta water if needed to reach the desired consistency."", ""13. Top the pasta with the sliced chicken strips."", ""14. Garnish with chopped fresh parsley before serving.""]",300,150,1000
